Timestamp,SRRL BMS Global Horizontal Irradiance (W/m²_irr),SRRL BMS Direct Normal Irradiance (W/m²_irr),SRRL BMS Diffuse Horizontal Irradiance (W/m²_irr),SRRL BMS Dry Bulb Temperature (°C),SRRL BMS Wind Speed at 19' (m/s),Avg Wind Speed @ 10m [m/s],Peak Wind Speed @ 2m [m/s],Peak Wind Speed @ 10m [m/s]
2024-06-24 16:31:13.500000-06:00,270.50175,92.3772175,219.107475,28.53675,2.415875,3.8244749999999996,3.167225,4.140875
2024-06-24 16:31:14-06:00,270.589,92.52023666666666,219.1192333333333,28.537,2.4108333333333336,3.8209,3.1612333333333336,4.138166666666667
2024-06-24 16:31:14.500000-06:00,270.67625,92.66325583333332,219.13099166666666,28.53725,2.4057916666666666,3.817325,3.155241666666667,4.135458333333333
2024-06-24 16:31:15-06:00,270.7635,92.806275,219.14274999999998,28.5375,2.40075,3.8137499999999998,3.1492500000000003,4.132750000000001
2024-06-24 16:31:15.500000-06:00,270.85075,92.94929416666666,219.15450833333333,28.53775,2.3957083333333333,3.8101749999999996,3.1432583333333333,4.130041666666667
2024-06-24 16:31:16-06:00,270.938,93.09231333333332,219.16626666666667,28.538,2.3906666666666667,3.8066,3.1372666666666666,4.1273333333333335
2024-06-24 16:31:16.500000-06:00,271.02525,93.2353325,219.178025,28.53825,2.385625,3.803025,3.131275,4.124625
2024-06-24 16:31:17-06:00,271.1125,93.37835166666666,219.18978333333334,28.5385,2.3805833333333335,3.7994499999999998,3.1252833333333334,4.121916666666667
2024-06-24 16:31:17.500000-06:00,271.19975,93.52137083333332,219.20154166666666,28.53875,2.375541666666667,3.7958749999999997,3.119291666666667,4.119208333333334
2024-06-24 16:31:18-06:00,271.28700000000003,93.66439,219.2133,28.539,2.3705,3.7923,3.1133,4.1165
2024-06-24 16:31:18.500000-06:00,271.37425,93.80740916666666,219.22505833333332,28.53925,2.365458333333333,3.788725,3.1073083333333336,4.113791666666667
2024-06-24 16:31:19-06:00,271.4615,93.95042833333333,219.23681666666667,28.5395,2.3604166666666666,3.78515,3.101316666666667,4.111083333333333
2024-06-24 16:31:19.500000-06:00,271.54875,94.0934475,219.248575,28.53975,2.355375,3.7815749999999997,3.095325,4.1083750000000006
